Emoji	Count
🗼	134
🕉	134
🩹	133
🚢	133
👆🏻	133
✌🏽	133
🤦🏻	132
🖕🏻	131
🖋	131
👭	131
🏜️	131
🎦	131
🌇	131
👧🏻	130
🐵	130
🌓	130
🦸🏻‍♂️	129
🔌	129
👋🏼	129
🦶	128
⛩️	128
🪡	127
🪓	127
🕶	127
🔛	127
🏎️	127
🇸🇻	127
🇵🇭	127
🚺	126
🇳🇱	126
🧤	125
🛩	125
🚔	124
🙅	124
🖌	124
👌🏽	124
🏵️	124
🎴	124
🌘	124
✳	124
🈹	123
⛓️	123
☹	123
🪔	122
🥗	122
🥓	122
🚣‍♀️	122
🌬️	122
☎	121
🪬	120
🧭	120
🧦	120
🤷🏼‍♀️	120
🌉	120
🧂	119
⛰	119
9⃣	119
🧍‍♀️	118
🇰🇼	118
🪶	117
🤷🏼‍♂️	117
🖼️	117
📃	117
↗️	117
🧈	116
🕹	116
🇿🇦	116
🦠	115
🪸	114
🥣	114
👉🏾	114
🇪🇨	114
☯️	114
📶	113
👫	113
🪨	112
🦬	112
🥬	112
🤙🏽	112
👴	112
👍🏿	112
⏪	112
🫘	111
🕳	111
💶	111
🇰🇪	111
☠	111
🥭	110
🙅‍♀️	110
🕷️	110
🧚	109
🦂	109
🛍️	109
💁‍♂️	109
🇯🇲	109
🧍🏻‍♀️	108
🤴	108
🛡	108
🧎	107
🤲🏾	107
📬	107
👸🏻	107
🇮🇷	107
⚒️	107
♣	107
↪️	107
🚶‍♂️	106
🚰	106
💪🏿	106
🧎‍♀️	105
🏜	105
🇷🇸	105
🇪🇦	105
☂️	105
🪦	104
🧩	104
🗻	104
♌	104
🗝️	103
🎺	103
✊🏼	103
⛈	103
🧜🏻‍♀️	102
🦢	102
🥮	102
🤸	102
🤷🏾‍♀️	102
🛰️	102
📁	102
💾	102
💁	102
🇨🇭	102
🅾️	102
🤝🏾	101
🚤	101
🙇🏻	101
🧎🏻‍♀️	100
🥥	100
🛴	100
🖐🏻	100
👯‍♀️	100
👋🏾	100
🏃🏻‍♂️	100
⚜	100
🛀	99
🚛	99
👛	99
🏨	99
✒️	99
®️	99
🤦🏿‍♂️	98
🛡️	98
🏺	98
🎢	98
🌪️	98
🌥	98
🇱🇧	98
🙋🏻	97
👖	97
🏪	97
🇹🇼	97
🥋	96
🛬	96
📧	96
